run_id,configuration,model,node_count,target_tp,draft_tp,speculative_tokens,concurrency,repeat,request_id,prompt_id,started_at_utc,status_code,success,error,prompt_tokens,completion_tokens,ttft_s,latency_s,decode_s,request_output_tok_s
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,4,3,c4-r3-q1,0,2026-09-13T20:48:36.519214+00:00,200,True,,65,200,0.429029,9.135855,8.706826,21.891767
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,4,3,c4-r3-q4,3,2026-09-13T20:48:36.519545+00:00,200,True,,63,200,0.428103,9.446814,9.018711,21.171159
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,4,3,c4-r3-q2,1,2026-09-13T20:48:36.521041+00:00,200,True,,64,200,0.427116,9.534046,9.10693,20.977454
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,1,c8-r1-q3,2,2026-09-13T20:48:46.071719+00:00,200,True,,64,200,0.611197,12.747343,12.136145,15.689544
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,1,c8-r1-q1,0,2026-09-13T20:48:46.069849+00:00,200,True,,65,200,0.612273,15.74163,15.129357,12.705165
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,1,c8-r1-q7,6,2026-09-13T20:48:46.069162+00:00,200,True,,67,200,0.613054,16.835806,16.222753,11.879443
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,1,c8-r1-q5,4,2026-09-13T20:48:46.071488+00:00,200,True,,64,200,0.610957,16.834341,16.223383,11.880477
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,1,c8-r1-q2,1,2026-09-13T20:48:46.068838+00:00,200,True,,64,200,0.243804,16.837298,16.593494,11.878391
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,1,c8-r1-q6,5,2026-09-13T20:48:46.072331+00:00,200,True,,72,200,0.610325,16.983105,16.372779,11.77641
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,1,c8-r1-q4,3,2026-09-13T20:48:46.069488+00:00,200,True,,63,200,0.612532,17.299353,16.68682,11.561126
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,1,c8-r1-q8,7,2026-09-13T20:48:46.072456+00:00,200,True,,64,200,0.610118,18.067877,17.457759,11.069369
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,2,c8-r2-q3,2,2026-09-13T20:49:04.147326+00:00,200,True,,64,200,0.763756,14.305696,13.541939,13.980446
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,2,c8-r2-q1,0,2026-09-13T20:49:04.143401+00:00,200,True,,65,200,0.168227,15.380751,15.212524,13.003266
