run_id,configuration,model,node_count,target_tp,draft_tp,speculative_tokens,concurrency,repeats,requested_requests,successful_requests,failed_requests,prompt_tokens,completion_tokens,aggregate_wall_s,request_throughput_req_s,output_throughput_tok_s,total_token_throughput_tok_s,mean_ttft_s,p50_ttft_s,p95_ttft_s,mean_latency_s,p50_latency_s,p95_latency_s,draft_tokens,accepted_tokens,draft_acceptance_rate,mean_accepted_tokens_per_draft
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,1,3,3,3,0,193,600,44.897951,0.066818,13.363639,17.662276,0.225982,0.126708,0.398316,14.965449,14.90324,15.157504,0,0,nan,nan
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,2,3,6,6,0,392,1200,43.752153,0.137136,27.427221,36.38678,0.15462,0.138983,0.229047,14.570922,14.560644,14.676929,0,0,nan,nan
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,4,3,12,12,0,779,2400,44.771293,0.268029,53.605778,71.005321,0.191539,0.159766,0.264468,14.904449,14.903053,14.954537,0,0,nan,nan
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,8,3,24,24,0,1569,4800,46.8555,0.512213,102.442617,135.928548,0.313569,0.338524,0.342159,15.604662,15.578444,15.788342,0,0,nan,nan
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,16,3,48,48,0,3138,9600,50.173705,0.956676,191.335283,253.878004,0.460421,0.510513,0.521217,16.708361,16.737979,16.758571,0,0,nan,nan
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,32,3,96,96,0,6276,19200,59.801917,1.6053,321.059941,426.006409,0.919163,0.94525,0.956942,19.91857,19.978452,20.027203,0,0,nan,nan
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,60,3,180,180,0,11762,36000,72.40441,2.486036,497.207281,659.655949,1.612808,1.639292,1.653744,24.105033,24.101349,24.178549,0,0,nan,nan
