run_id,configuration,model,node_count,target_tp,draft_tp,speculative_tokens,concurrency,repeats,requested_requests,successful_requests,failed_requests,prompt_tokens,completion_tokens,aggregate_wall_s,request_throughput_req_s,output_throughput_tok_s,total_token_throughput_tok_s,mean_ttft_s,p50_ttft_s,p95_ttft_s,mean_latency_s,p50_latency_s,p95_latency_s,draft_tokens,accepted_tokens,draft_acceptance_rate,mean_accepted_tokens_per_draft
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,1,3,3,3,0,193,600,18.762612,0.159892,31.97849,42.264905,0.284307,0.306912,0.313507,6.25322,5.749567,7.655985,2110,387,0.183412,1.834123
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,2,3,6,6,0,392,1200,22.860149,0.262465,52.493097,69.640842,0.349896,0.340474,0.558736,7.245578,7.450883,7.910692,4220,776,0.183886,1.838863
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,4,3,12,12,0,779,2400,31.619879,0.379508,75.90162,100.53802,0.426264,0.428177,0.441086,9.599208,9.71305,11.009552,8710,1542,0.177038,1.770379
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,3,24,24,0,1569,4800,54.11661,0.443487,88.697352,117.690299,0.50756,0.48895,0.765175,16.595989,16.836552,18.224435,17790,3035,0.170601,1.706015
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,3,48,48,0,3138,9600,69.0481,0.695168,139.033514,184.480094,0.752389,0.776601,0.857946,20.894273,21.185068,22.942519,35370,6084,0.17201,1.720102
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,32,3,96,96,0,6276,19200,98.453068,0.975084,195.016777,258.762886,1.090838,1.188009,1.211371,29.483638,29.991428,32.711563,71010,12116,0.170624,1.706239
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,60,3,180,180,0,11762,36000,126.349128,1.424624,284.924801,378.016065,1.764282,1.908479,2.226395,37.596688,38.413381,41.724224,133390,22739,0.17047,1.704701
